,매장명,주소,위도,경도
30,도곡역  ,서울특별시 강남구 남부순환로 2909 (대치동)1522-3232,37.4921442,127.0573977
31,서울세관사거리  ,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회1522-3232,37.5148904,127.0357573
32,청담사거리  ,서울특별시 강남구 도산대로 458 (청담동) 리츠타워1522-3232,37.5236351,127.0468651
33,한티역  ,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)1522-3232",37.4966281,127.055214
34,역삼초교사거리  ,서울특별시 강남구 역삼로 123 (역삼동)1522-3232,37.4941005,127.0330019
35,코엑스몰  ,서울특별시 강남구 영동대로 513 (삼성동) O103호1522-3232,37.5101935,127.0585824
36,가로수길  ,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)1522-3232",37.5231593,127.021625
37,역삼대로  ,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)1522-3232",37.5018802,127.0392296
38,역삼포스코  ,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)1522-3232",37.4993385,127.0337927
39,강남대로  ,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)1522-3232",37.50310109999999,127.0255479
40,청담  ,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)1522-3232",37.5243631,127.0515599
41,삼성도심공항  ,서울특별시 강남구 테헤란로87길 33 (삼성동)1522-3232,37.5097863,127.0579134
42,삼성교  ,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층1522-3232",37.5078813,127.0652928
43,학동역  ,서울특별시 강남구 논현로 704 (논현동)1522-3232,37.5135304,127.0315341
44,대치  ,서울특별시 강남구 도곡로 511 (대치동)1522-3232,37.499591,127.0622226
45,SSG마켓도곡R  ,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)1522-3232",37.4896405,127.0545117
46,삼성  ,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)1522-3232",37.5069114,127.0555833
47,선릉세화빌딩  ,서울특별시 강남구 테헤란로64길 18 (대치동) 1층1522-3232,37.5037306,127.0511864
48,압구정역  ,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)1522-3232",37.52671960000001,127.028094
49,압구정로  ,서울특별시 강남구 압구정로42길 32 (신사동)1522-3232,37.5268082,127.0347226
50,구역삼사거리  ,서울특별시 강남구 논현로 401 (역삼동)1522-3232,37.49589570000001,127.0388933
51,큰길타워  ,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)1522-3232",37.5023634,127.0406629
52,강남구청역  ,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)1522-3232",37.5135304,127.0315341
53,대치역  ,서울특별시 강남구 남부순환로 2936 (대치동) 107호1522-3232,37.4933099,127.0619031
54,포이  ,서울특별시 강남구 논현로 88 (개포동)1522-3232,37.4789643,127.0609282
55,아크플레이스  ,서울특별시 강남구 테헤란로 142 (역삼동)1522-3232,37.4996847,127.0349215
56,학여울역  ,서울특별시 강남구 영동대로 215 (대치동)1522-3232,37.4979557,127.0685027
57,선정릉역  ,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩1522-3232,37.5108656,127.0449904
58,삼성현대힐  ,서울특별시 강남구 삼성로 605 (삼성동)1522-3232,37.5139848,127.0565207
59,GS타워  ,서울특별시 강남구 논현로 508 (역삼동)1522-3232,37.5018592,127.0372776
60,압구정미소  ,서울특별시 강남구 논현로 841 (신사동)1522-3232,37.5240211,127.0278937
61,선릉역  ,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)1522-3232",37.5086154,127.0597808
62,코엑스사거리  ,서울특별시 강남구 영동대로 616 (삼성동)1522-3232,37.5153516,127.0601103
63,역삼럭키  ,서울특별시 강남구 도곡로 183 (역삼동)1522-3232,37.4921956,127.039393
64,차병원사거리  ,"서울특별시 강남구 봉은사로 213, 센트럴타워 (논현동)1522-3232",37.50800400000001,127.0353584
65,청담공원  ,서울특별시 강남구 학동로 506 (삼성동)1522-3232,37.5186549,127.0514387
66,신압구정  ,서울특별시 강남구 언주로174길 29 (신사동)1522-3232,37.5280809,127.0364236
67,아크로힐스논현  ,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)1522-3232",37.5089909,127.0403621
68,강남비젼타워  ,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)1522-3232",37.4964557,127.0296885
69,역삼역  ,"서울특별시 강남구 테헤란로 145, 우신빌딩 1층 (역삼동)1522-3232",37.5006707,127.0351734
70,압구정로데오역  ,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)1522-3232",37.5265058,127.0405179
71,르네상스사거리  ,서울특별시 강남구 테헤란로 306 (역삼동)1522-3232,37.5025597,127.044093
72,포스코  ,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)1522-3232",37.5057344,127.0579281
73,선릉로  ,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)1522-3232",37.5049219,127.0467242
74,논현힐탑  ,서울특별시 강남구 논현로 648 (논현동)1522-3232,37.5135304,127.0315341
75,도산가로수길  ,"서울특별시 강남구 도산대로 134, 2층 (논현동)1522-3232",37.5172519,127.0233424
76,대치한티  ,서울특별시 강남구 선릉로 324 (대치동)1522-3232,37.4984818,127.052066
77,수서역사거리  ,서울특별시 강남구 광평로 280 (수서동)1522-3232,37.4872829,127.1031088
78,코엑스아셈타워  ,서울특별시 강남구 영동대로 517 (삼성동)1522-3232,37.5101935,127.0585824
79,센터필드R  ,서울특별시 강남구 테헤란로 231 (역삼동)1522-3232,37.5030426,127.041588
80,도산사거리  ,서울특별시 강남구 언주로 727 (논현동)1522-3232,37.5135304,127.0315341
81,강남세곡  ,서울특별시 강남구 헌릉로569길 18 (세곡동)1522-3232,37.46525,127.1197385
82,대치삼성프라자  ,서울특별시 강남구 영동대로 237 (대치동)1522-3232,37.5003097,127.0669613
83,강남역신분당역사  ,서울특별시 강남구 강남대로 396 (역삼동)1522-3232,37.4999072,127.0373932
84,테헤란로아남타워  ,서울특별시 강남구 테헤란로 311 (역삼동)1522-3232,37.5037497,127.0448356
85,강남논현  ,서울특별시 강남구 강남대로 512 (논현동)1522-3232,37.5135304,127.0315341
86,삼성동  ,서울특별시 강남구 영동대로96길 12 (삼성동)1522-3232,37.5107008,127.0635676
87,역삼이마트  ,서울특별시 강남구 역삼로 310 (역삼동)1522-3232,37.4992239,127.048424
88,미아뉴타운  ,서울특별시 강북구 삼양로 161 (미아동)1522-3232,37.6183622,127.0210925
89,강북구청사거리  ,서울특별시 강북구 도봉로 365 (수유동)1522-3232,37.6400187,127.0273281
90,미아사거리역  ,서울특별시 강북구 도봉로 32 (미아동)1522-3232,37.611809,127.0306971
91,수유역  ,서울특별시 강북구 도봉로 342 (번동)1522-3232,37.6380167,127.026135
92,미아역  ,서울특별시 강북구 도봉로 196 (미아동)1522-3232,37.6276849,127.0260705
93,파라스파라서울  ,서울특별시 강북구 삼양로 689 (우이동)[*미고시]1522-3232,37.6370282,127.0170402
94,발산역사거리  ,서울특별시 강서구 공항대로 248 (마곡동)1522-3232,37.5707835,126.82871
95,마곡역  ,서울특별시 강서구 공항대로 168 (마곡동)1522-3232,37.57288090000001,126.8285073
96,우장산역  ,서울특별시 강서구 강서로 267 (내발산동)1522-3232,37.5495419,126.835914
97,마곡사이언스타워R  ,서울특별시 강서구 마곡동로 62 (마곡동)1522-3232,37.5735074,126.8285405
98,방화DT  ,서울특별시 강서구 방화대로 375 (방화동)1522-3232,37.5743389,126.8164145
99,마곡나루역  ,서울특별시 강서구 마곡중앙로 161-17 (마곡동)1522-3232,37.5751733,126.8280786
100,마곡GMG  ,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호1522-3232",37.5712911,126.8369374
101,가양역  ,서울특별시 강서구 양천로 476 (등촌동)1522-3232,37.551791,126.8583459
102,화곡DT  ,서울특별시 강서구 등촌로 57 (화곡동)1522-3232,37.5350355,126.8631182
103,양천향교역  ,서울특별시 강서구 강서로 463 (마곡동)1522-3232,37.5764888,126.8307466
104,화곡동  ,서울특별시 강서구 화곡로 142(화곡동)1522-3232,37.5405337,126.8375885
105,등촌  ,서울특별시 강서구 공항대로 329 (등촌동)1522-3232,37.558653,126.8532512
106,염창역  ,서울특별시 강서구 공항대로 627 (염창동)1522-3232,37.547251,126.8745264
107,발산역  ,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트1522-3232,37.5601723,126.8393026
108,가양이마트  ,서울특별시 강서구 양천로 559 (가양동) 1층1522-3232,37.566624,126.8424614
109,까치산역  ,서울특별시 강서구 강서로13길 3 (화곡동)1522-3232,37.5316073,126.8454041
110,등촌대로  ,"서울특별시 강서구 공항대로 543 (염창동, 센터스퀘어)1522-3232",37.5540319,126.8717993
111,가양역사거리  ,"서울특별시 강서구 화곡로 416 (등촌동) 가양더스카이벨리5차 지식산업센터 101, 102, 114,~117호1522-3232",37.559882,126.8553509
112,내발산  ,"서울특별시 강서구 강서로 323 (내발산동), 101/102호1522-3232",37.5589929,126.8288187
113,마곡웰튼  ,"서울특별시 강서구 마곡중앙5로 22 (마곡동), 104/105/106호1522-3232",37.5714215,126.8355464
114,강서NC  ,서울특별시 강서구 강서로56길 17 (등촌동)1522-3232,37.55990389999999,126.8405122
115,마곡나루공원  ,서울특별시 강서구 마곡중앙5로 47 (마곡동)1522-3232,37.5770275,126.8346202
116,강서구청사거리  ,서울특별시 강서구 화곡로 350 (화곡동)1522-3232,37.5547254,126.8520968
117,낙성대역  ,서울특별시 관악구 남부순환로 1908 (봉천동)1522-3232,37.4776649,126.9611926
118,관악서울대입구R  ,서울특별시 관악구 관악로 158 (봉천동)1522-3232,37.4792703,126.9527981
119,신림DT  ,서울특별시 관악구 남부순환로 1419 (신림동)1522-3232,37.4860743,126.9308822
120,서울대역  ,서울특별시 관악구 남부순환로 1817 (봉천동)1522-3232,37.4815987,126.9522003
121,낙성대DT  ,서울특별시 관악구 남부순환로 1948 (봉천동)1522-3232,37.4761693,126.9650053
122,사당  ,서울특별시 관악구 남부순환로 2082-251522-3232,37.47600910000001,126.9809985
123,보라매대교  ,서울특별시 관악구 보라매로3길 23 (봉천동) 1층1522-3232,37.4909895,126.9255211
124,신림사거리  ,서울특별시 관악구 남부순환로 1619 (신림동)1522-3232,37.4846038,126.9304905
125,신림  ,서울특별시 관악구 신림로 355-1 (신림동)1522-3232,37.48605870000001,126.9291581
126,신림타임스트림  ,서울특별시 관악구 신림로 330 타임스트림 1층1522-3232,37.4838735,126.9302332
127,서울대입구역  ,서울특별시 관악구 남부순환로 1812 (봉천동)1522-3232,37.4811125,126.9513217
128,봉천역  ,서울특별시 관악구 남부순환로 1730 (봉천동)1522-3232,37.4820227,126.9422444
129,건국대  ,서울특별시 광진구 능동로 117 (화양동)1522-3232,37.5477745,127.0706455
130,어린이대공원역  ,서울특별시 광진구 능동로 243 (군자동)1522-3232,37.5527512,127.0767631
131,아차산역  ,서울특별시 광진구 천호대로 676 (구의동)1522-3232,37.5506271,127.0899534
132,올림픽대교북단  ,서울특별시 광진구 광나루로 608 (구의동)1522-3232,37.5411292,127.0952402
133,구의DT  ,서울특별시 광진구 광나루로 519 (구의동)1522-3232,37.545357,127.0871714
134,자양사거리  ,서울특별시 광진구 아차산로 3551522-3232,37.5417175,127.0873849
135,군자역  ,서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩1522-3232,37.5566812,127.0789171
136,광나루  ,"서울특별시 광진구 아차산로 607, 1,2층 (광장동)1522-3232",37.5566878,127.1121244
137,건대스타시티  ,서울특별시 광진구 아차산로 262 (자양동)1522-3232,37.5376127,127.0726183
138,자양  ,서울특별시 광진구 능동로 50 (자양동)1522-3232,37.5354769,127.0691462
139,강변역  ,서울특별시 광진구 구의강변로 64 (구의동) 구의아크로리버1522-3232,37.5360961,127.0927925
140,건대입구  ,서울특별시 광진구 능동로 107 (화양동)1522-3232,37.5460727,127.0722917
141,구의역  ,서울특별시 광진구 아차산로 373 (구의동)1522-3232,37.5369745,127.0840194
142,광장  ,서울특별시 광진구 아차산로 537-17 (광장동)1522-3232,37.5552818,127.1127862
143,건국클래식  ,서울특별시 광진구 능동로 90 (자양동) 더 클래식5001522-3232,37.5387765,127.0710831
144,건대후문  ,서울특별시 광진구 능동로 172 (화양동)1522-3232,37.5477537,127.0714391
145,중곡역  ,"서울특별시 광진구 능동로 400 (중곡동) 1층 108,109,110,111,112,118 6개호실1522-3232",37.56042619999999,127.0917369
146,자양이마트  ,서울특별시 광진구 아차산로 272 (자양동) 지하1층1522-3232,37.5376127,127.0726183
147,뚝섬유원지역  ,"서울특별시 광진구 능동로 18 (자양동, 이튼타워리버3차)1522-3232",37.5325759,127.0679308
148,군자사거리  ,서울특별시 광진구 천호대로 549 (중곡동) 1층1522-3232,37.5575666,127.079334
149,금천구청역  ,"서울특별시 금천구 시흥대로73길 67 (시흥동)112,113,114,115호1522-3232",37.4568736,126.8978
150,가산에스케이  ,서울특별시 금천구 가산디지털1로 171 (가산동)1522-3232,37.4806318,126.8805702
151,독산사거리  ,서울특별시 금천구 시흥대로 426 (독산동)1522-3232,37.4715113,126.8987752
152,금천시흥  ,서울특별시 금천구 시흥대로 164 (시흥동)1522-3232,37.4488601,126.903246
153,가산디지털단지역  ,서울특별시 금천구 벚꽃로 298 (가산동)1522-3232,37.4813244,126.8837789
154,금천독산  ,서울특별시 금천구 두산로 70 (독산동)1522-3232,37.4704162,126.8920672
155,가산디지털  ,서울특별시 금천구 가산디지털1로 168 (가산동)1522-3232,37.4798346,126.8824997
156,W-Mall  ,서울특별시 금천구 디지털로 188 (가산동)1522-3232,37.4773244,126.8877548
157,마리오아울렛  ,서울특별시 금천구 벚꽃로 266 마리오아울렛3관1522-3232,37.4785992,126.8851547
158,가산브이타워  ,서울특별시 금천구 가산디지털1로 128 (가산동)1522-3232,37.4771592,126.8837142
159,가산그레이트  ,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)1522-3232",37.4794491,126.8874768
160,독산역  ,"서울특별시 금천구 가산디지털1로 16 (가산동), 107-2, 108, 109호1522-3232",37.4676446,126.8876698
161,월계역  ,"서울특별시 노원구 초안산로2라길26 월계동(104,105,106호)1522-3232",37.63115310000001,127.0577021
162,월계트레이더스  ,서울특별시 노원구 마들로3길 15 (월계동)1522-3232,37.62644,127.0619091
163,상계초교사거리  ,서울특별시 노원구 노원로 449 (상계동)1522-3232,37.6622675,127.067351
164,공릉DT  ,서울특별시 노원구 동일로 1015 (공릉동)1522-3232,37.6206884,127.0743116
165,노원마들역  ,"서울특별시 노원구 노원로 569 (상계동, 임광아파트)1522-3232",37.6606791,127.057048
166,공릉역  ,서울특별시 노원구 동일로 1081 (공릉동)1522-3232,37.6304778,127.0901988
167,은행사거리  ,"서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동)1522-3232",37.6504634,127.0759752
168,노원KT  ,"서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동)1522-3232",37.6535907,127.0611749
169,광운대  ,서울특별시 노원구 석계로 104 (월계동)1522-3232,37.6231479,127.0607009
170,중계역  ,"서울특별시 노원구 동일로 1339, 대한빌딩 (상계동)1522-3232",37.6481244,127.0621656
171,노원역  ,서울특별시 노원구 동일로 1413 (상계동) 1층1522-3232,37.6547298,127.0600029
172,월계이마트  ,서울특별시 노원구 마들로3길 15 (월계동)1522-3232,37.62644,127.0619091
173,태릉입구역DT  ,서울특별시 노원구 화랑로 469 (공릉동)1522-3232,37.619211,127.0792994
174,창동이마트  ,서울특별시 도봉구 노해로65길 4 (창동)1522-3232,37.6516821,127.046933
175,쌍문역  ,서울특별시 도봉구 도봉로 480 (창동)1522-3232,37.6483224,127.0348734
176,쌍문도봉로  ,서울특별시 도봉구 도봉로 444 (창동)1522-3232,37.6453516,127.0331011
177,방학역  ,"서울특별시 도봉구 도봉로 684 (방학동)101,102,113,114,115호1522-3232",37.665957,127.0390407
178,노량진동  ,"서울특별시 동작구 노량진로 190 (노량진동, 고려교육타워-어바니엘한강) 101호~105호1522-3232",37.5131423,126.9465461
179,남성역  ,서울특별시 동작구 사당로 219 (사당동)1522-3232,37.4841211,126.9726489
180,상도역  ,서울특별시 동작구 상도로37길 1 (상도1동)1522-3232,37.5005225,126.9506584
181,보라매공원R  ,"서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)1522-3232",37.4920496,126.9234976
182,이수자이  ,서울특별시 동작구 사당로 300 (사당동 이수자이)1522-3232,37.4843975,126.9804278
183,노량진역  ,서울특별시 동작구 노량진로 134 (노량진동)1522-3232,37.51259659999999,126.9471441
184,신대방삼거리역  ,서울특별시 동작구 상도로 102 (상도동)1522-3232,37.4999142,126.9317661
185,중앙대  ,서울특별시 동작구 흑석로 75-1 (흑석동)1522-3232,37.5069327,126.9581247
186,숭실대입구역  ,서울특별시 동작구 상도로 354 (상도동)1522-3232,37.4968346,126.9527123
187,숭실대  ,서울특별시 동작구 사당로 4 (상도동)1522-3232,37.4953631,126.9548386
188,사당역  ,"서울특별시 동작구 동작대로 21, 양지빌딩 1-3층 (사당동)1522-3232",37.4784593,126.9813316
189,서강대프라자  ,서울특별시 마포구 백범로 35 (신수동)1522-3232,37.5482918,126.9396564
190,상암YTN  ,서울특별시 마포구 상암산로 76 (상암동)1522-3232,37.5756558,126.8977097
191,마포용강동  ,서울특별시 마포구 토정로 295 (용강동)1522-3232,37.5411857,126.9422092
192,홍대입구역사거리R  ,서울특별시 마포구 양화로 125 (서교동)1522-3232,37.5546884,126.9202895
193,마포경찰서후문  ,서울특별시 마포구 마포대로 173-14 (아현동)1522-3232,37.5539707,126.950408
194,공덕  ,서울특별시 마포구 마포대로 130 (공덕동)1522-3232,37.5500158,126.9534217
195,합정폴리스R  ,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)1522-3232",37.5499443,126.9137027
196,홍대공항철도역  ,서울특별시 마포구 양화로 178 (동교동)1522-3232,37.557008,126.9290252
197,마포염리  ,서울특별시 마포구 독막로 311 (염리동)1522-3232,37.5438755,126.9476798
198,서강광흥창역  ,서울특별시 마포구 서강로 69 (창전동)1522-3232,37.5493766,126.9316559
199,합정  ,"서울특별시 마포구 월드컵로1길 14 (합정동) 마포한강푸르지오 110, 111, 112-21522-3232",37.550704,126.912613
200,서강대흥역  ,서울특별시 마포구 백범로 89-5 (대흥동)1522-3232,37.5528171,126.9466385
201,서교동사거리  ,서울특별시 마포구 양화로 105 (서교동)1522-3232,37.5533761,126.9185644
202,상암사보이시티  ,서울특별시 마포구 월드컵북로54길 17 (상암동)1522-3232,37.5764202,126.8880394
203,신촌오거리  ,서울특별시 마포구 신촌로16길 10 (노고산동)1522-3232,37.555138,126.9346633
204,상암디지털큐브  ,서울특별시 마포구 상암산로 341522-3232,37.5784516,126.8915392
205,상수역  ,서울특별시 마포구 독막로 88 (상수동)1522-3232,37.54898560000001,126.9240226
206,공덕오거리  ,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩1522-3232,37.5426483,126.9505562
207,서강대  ,서울특별시 마포구 백범로 23 (신수동)1522-3232,37.5494638,126.9400348
208,상암MBC  ,서울특별시 마포구 성암로 267 (상암동)1522-3232,37.5740931,126.9035854
209,홍대역  ,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)1522-3232",37.5571739,126.923614
210,동교  ,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)1522-3232",37.5568085,126.9199839
211,애오개역  ,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)1522-3232",37.5521804,126.9554999
212,상암DMC  ,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)1522-3232",37.5773051,126.8906358
213,마포일진빌딩  ,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)1522-3232",37.5404326,126.9463602
214,마포아크로  ,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워1522-3232,37.5413152,126.9489731
215,홍대삼거리  ,서울특별시 마포구 와우산로 64 (상수동)1522-3232,37.5487686,126.9250204
216,망원역  ,서울특별시 마포구 월드컵로 74 (서교동)1522-3232,37.5557302,126.9106996
217,마포이마트  ,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트1522-3232,37.542371,126.953362
218,합정메세나몰  ,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)1522-3232",37.5499443,126.9137027
219,아현역대로  ,서울특별시 마포구 신촌로 262 (아현동)1522-3232,37.5570273,126.9548041
220,홍대역8번출구  ,서울특별시 마포구 양화로 166 (동교동)1522-3232,37.5567531,126.9246749
221,망원한강공원  ,서울특별시 마포구 마포나루길 435 (망원동)1522-3232,37.5604025,126.9029565
222,서교  ,서울특별시 마포구 양화로 78 (서교동) 서교빌딩 1층1522-3232,37.5512986,126.9169248
223,가재울뉴타운  ,"서울특별시 서대문구 가재울미래로 2 (남가좌동, DMC파크뷰자이)1522-3232",37.58470519999999,126.9229346
224,남가좌사거리  ,"서울특별시 서대문구 거북골로 84 (남가좌동, DMC에코자이104동)1522-3232",37.577193,126.9192653
225,신촌역  ,서울특별시 서대문구 신촌로 73 (창천동)1522-3232,37.5562647,126.9345138
226,연희동  ,서울특별시 서대문구 연희로 97 (연희동)1522-3232,37.5667633,126.9305031
227,아현역  ,"서울특별시 서대문구 신촌로35길 10 (북아현동, E편한세상신촌 4단지)1522-3232",37.5584231,126.9546193
228,홍제역  ,서울특별시 서대문구 통일로 451 (홍제동)1522-3232,37.5928458,126.9516355
229,연세백양로  ,서울특별시 서대문구 연세로 50 (신촌동) 연세대학교1522-3232,37.564089,126.9389809
230,연희DT  ,서울특별시 서대문구 연희로 144 (연희동)1522-3232,37.5701185,126.9338591
231,경기대  ,서울특별시 서대문구 충정로 53 (충정로2가)1522-3232,37.5658142,126.9638013
232,신촌  ,서울특별시 서대문구 연세로 10-1 (창천동)1522-3232,37.5564503,126.9371086
233,이대R  ,서울특별시 서대문구 이화여대길 34 (대현동)1522-3232,37.5583821,126.9459524
234,연세종합관  ,"서울특별시 서대문구 연세로 50, 연세세브란스 종합관 (신촌동)1522-3232",37.5623371,126.9408692
235,이대ECC  ,서울특별시 서대문구 이화여대길 52 (대현동) 이화여자대학교 B415호1522-3232,37.5618588,126.9468339
236,연대  ,서울특별시 서대문구 연세로 35 (창천동)1522-3232,37.5586875,126.9366988
237,신촌아트레온  ,서울특별시 서대문구 신촌로 129 (창천동)1522-3232,37.5601918,126.9308653
238,충정로역  ,서울특별시 서대문구 충정로 231522-3232,37.5627988,126.9647478
239,연대동문  ,서울특별시 서대문구 성산로 565 (대신동)1522-3232,37.566388,126.9462765
240,신촌명물거리  ,"서울특별시 서대문구 명물길 24, 1-5층 (창천동)1522-3232",37.5577614,126.9381244
241,충정타워  ,"서울특별시 서대문구 서소문로 21, 충정타워빌딩 1층 (충정로3가)1522-3232",37.5598507,126.964065
242,북가좌DT  ,서울특별시 서대문구 응암로 85 (북가좌동)1522-3232,37.5809257,126.9117019
243,현대신촌  ,서울특별시 서대문구 신촌로 83 (창천동)1522-3232,37.5594444,126.9363032
244,방배로  ,서울특별시 서초구 방배로 52 (방배동)1522-3232,37.4794494,126.9993484
245,강남교보타워R  ,서울특별시 서초구 강남대로 465 (서초동)1522-3232,37.5037208,127.0240967
246,방배다이치빌딩  ,서울특별시 서초구 방배로 114 (방배동)1522-3232,37.4843008,126.9960781
247,센트럴F1  ,서울특별시 서초구 신반포로 176 (반포동)1522-3232,37.5041299,127.0030692
248,서초역이화빌딩  ,서울특별시 서초구 반포대로21길 3 (서초동)1522-3232,37.4882539,127.0090099
249,서초구청  ,서울특별시 서초구 남부순환로 2557 (서초동)1522-3232,37.4844008,127.0300468
250,서초우성사거리  ,서울특별시 서초구 강남대로 343 (서초동)1522-3232,37.4934821,127.0292328
251,이수역사거리  ,"서울특별시 서초구 서초대로 3-4 (방배동, 방배디오슈페리움1)1522-3232",37.4858503,126.9830269
252,강남대로신사  ,서울특별시 서초구 강남대로 595 (잠원동)1522-3232,37.5148246,127.01945
253,서울고속터미널  ,서울특별시 서초구 신반포로 194 (반포동)1522-3232,37.5054942,127.006719
254,강남대로논현R  ,서울특별시 서초구 강남대로85길 5 (반포동)1522-3232,37.5073277,127.0225816
255,방배  ,서울특별시 서초구 방배로 2111522-3232,37.4866882,126.9948792
256,방배카페거리  ,서울특별시 서초구 방배중앙로 162 (방배동)1522-3232,37.4934767,126.9865297
